"KO","STN","Pvalue","30L1","30L2","30L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K03782",-2.218574376,0.001424514,0,0,6.886,8.0201,15.45,19.415,"Catalase-peroxidase","MAG: catalase/peroxidase HPI","Catalase-peroxidase","katG","GO:0006979;GO:0042744;GO:0098869;GO:0004096;GO:0020037;GO:0046872;GO:0004601","response to oxidative stress;hydrogen peroxide catabolic process;cellular oxidant detoxification;catalase activity;heme binding;metal ion binding;peroxidase activity","catalase-peroxidase ",0,0,2.97929371,3.173143428,4.040015679,4.351557662,14.29503333,2.295333333,3.85490559,0.993097903,-2.861807686,2.846333217,"Downregulated","Regulatory system and stress"
"K03797",-2.990447913,0.000161435,3.4095,0,9.1814,24.8621,22.1681,20.0845,"Carboxy-terminal processing protease CtpA;hypothetical protein;Carboxy-terminal processing protease CtpB","MULTISPECIES: S41 family peptidase;MAG: signal protein PDZ;MAG: peptidase S41",";Peptidase S41","","GO:0006508;GO:0005515;GO:0008236","proteolysis;protein binding;serine-type peptidase activity","carboxyl-terminal processing protease ",2.140615076,0,3.347864049,4.692767521,4.53406783,4.398110905,22.37156667,4.196966667,4.541648752,1.829493041,-2.71215571,3.792002362,"Downregulated","Translation"
"K04567",-1.79275776,0.004467862,5.1142,0,5.7383,12.03,16.122,11.381,"Lysine--tRNA ligase","MAG: lysine--tRNA ligase","Lysine--tRNA ligase","lysS","GO:0006430;GO:0000287;GO:0003676;GO:0004824;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","lysyl-tRNA aminoacylation;magnesium ion binding;nucleic acid binding;lysine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","lysyl-tRNA synthetase, class II ",2.612163745,0,2.752384661,3.703765179,4.097779326,3.630055939,13.17766667,3.6175,3.810533481,1.788182802,-2.022350679,2.349900203,"Downregulated","Translation"
"K04772",-1.944725155,0.003022422,0,0,5.7383,5.6141,15.4504,14.729,"Putative serine protease HhoA","PDZ domain-containing protein;MAG: serine protease",";Serine protease","","GO:0006508;GO:0004252;GO:0005515","proteolysis;serine-type endopeptidase activity;protein binding","serine protease DegQ ",0,0,2.752384661,2.725544858,4.040050759,3.975355047,11.93116667,1.912766667,3.580316888,0.917461554,-2.662855334,2.519644967,"Downregulated","Translation"
"K05366",-1.870419496,0.003636771,0,0,0,2.406,10.0764,13.39,"Penicillin-binding protein 2D;Penicillin-binding protein 1F","MAG: penicillin-binding protein;MAG: carboxypeptidase","Peptidoglycan glycosyltransferase","","GO:0006508;GO:0004180;GO:0005515;GO:0008658;GO:0008955","proteolysis;carboxypeptidase activity;protein binding;penicillin binding;peptidoglycan glycosyltransferase activity","penicillin-binding protein 1A ",0,0,0,1.768078435,3.469417154,3.846994687,8.624133333,0,3.028163425,0,-3.028163425,2.439284009,"Downregulated","Cell wall and signaling"
"K05382",-2.104486876,0.001872945,0,0,0,0,14.7785,13.39,"Chromophore lyase CpcS/CpeS;Phycocyanobilin lyase subunit CpcS","MAG: CpeS-like protein;MAG: phycobiliprotein lyase","Chromophore lyase CpcS/CpeS","cpcS","GO:0017009;GO:0016829","protein-phycocyanobilin linkage;lyase activity","phycoerythrin-associated linker protein",0,0,0,0,3.979888155,3.846994687,9.3895,0,2.608960947,0,-2.608960947,2.727475047,"Downregulated","Photosynthesis and chlorophyll"
"K06048",-2.53188554,0.000730942,0,0,0,10.426,13.4353,12.7205,"putative protein;Glutamate--cysteine ligase","MAG: hypothetical protein DCO99_02030;MAG: putative glutamate--cysteine ligase",";Putative glutamate--cysteine ligase",";gshA",";GO:0042398;GO:0004357;GO:0003824",";cellular modified amino acid biosynthetic process;glutamate-cysteine ligase activity;catalytic activity","glutamate---cysteine ligase / carboxylate-amine ligase ",0,0,0,3.51424853,3.851529185,3.778261152,12.19393333,0,3.714679622,0,-3.714679622,3.136117259,"Downregulated","Regulatory system and stress"
"K06207",-3.678484583,1.49477e-05,13.638,18.045,27.544,48.923,55.756,55.568,"GTP-binding protein TypA/BipA","MAG: translational GTPase TypA","50S ribosomal subunit assembly factor BipA","typA","GO:0000027;GO:0000049;GO:0003924;GO:0005525;GO:0019843;GO:0043022;GO:0005737","ribosomal large subunit assembly;tRNA binding;GTPase activity;GTP binding;rRNA binding;ribosome binding;cytoplasm","GTP-binding protein",3.871646546,4.251340383,4.835115615,5.641632727,5.826701011,5.821914259,53.41566667,19.74233333,5.763415999,4.319367515,-1.444048484,4.825426118,"Downregulated","Translation"
"K09014",-1.60278151,0.007651719,0,0,6.886,6.4161,13.435,12.051,"FeS cluster assembly protein SufB","Fe-S cluster assembly protein SufB","","","GO:0016226","iron-sulfur cluster assembly","Fe-S cluster assembly protein SufB",0,0,2.97929371,2.890660698,3.851499202,3.706088449,10.63403333,2.295333333,3.48274945,0.993097903,-2.489651546,2.116240988,"Downregulated","Cofactor"
"K09667",-3.004624333,0.000161435,0,0,0,8.8222,16.7938,19.4155,"Lipopolysaccharide assembly protein B;Beta-barrel assembly-enhancing protease;SPBc2 prophage-derived glycosyltransferase SunS","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase",";TPR_REGION domain-containing protein;Glycosyl transferase","","GO:0005515;GO:0016020;GO:0016021;GO:0016740","protein binding;membrane;integral component of membrane;transferase activity","protein O-GlcNAc transferase ",0,0,0,3.296046199,4.153302737,4.351592996,15.0105,0,3.933647311,0,-3.933647311,3.792002362,"Downregulated","Translation"
"K10960",-4.203092281,1e-06,8.5237,10.827,12.624,32.883,52.397,46.865,"Kynurenine 3-monooxygenase","geranylgeranyl reductase","","","GO:0015979;GO:0015995;GO:0016628;GO:0045550;GO:0071949","photosynthesis;chlorophyll biosynthetic process;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;geranylgeranyl reductase activity;FAD binding","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ",3.251522176,3.564012265,3.768078435,5.082489711,5.738686784,5.580899204,44.04833333,10.65823333,5.467358567,3.527870959,-1.939487608,6,"Downregulated","Photosynthesis and chlorophyll"
"K11003",-1.689913438,0.005994021,0,0,3.443,7.2181,8.0611,12.051,"Hemolysin secretion protein D, chromosomal;Leukotoxin export protein LtxD","MAG: hemolysin D;MAG: hypothetical protein DCO99_07580",";Biotin_lipoyl_2 domain-containing protein","",";GO:0016020;GO:0016021",";membrane;integral component of membrane","membrane fusion protein, hemolysin D",0,0,2.151534141,3.038804886,3.179686201,3.706088449,9.110066667,1.147666667,3.308193179,0.717178047,-2.591015131,2.222281745,"Downregulated","Cell wall and signaling"
"K11004",-5.106497742,1e-06,0,3.6089,10.329,38.4962,49.7098,35.483,"Leukotoxin export ATP-binding protein LtxB;Alpha-hemolysin translocation ATP-binding protein HlyB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Peptidase C39;","","GO:0006508;GO:0055085;GO:0005524;GO:0008233;GO:0140359;GO:0016020;GO:0016021","proteolysis;transmembrane transport;ATP binding;peptidase activity;ABC-type transporter activity;membrane;integral component of membrane","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB",0,2.204422466,3.501948616,5.303641951,5.664192679,5.189152462,41.22966667,4.645966667,5.385662364,1.902123694,-3.48353867,6,"Downregulated","Transport"
"K12573",-2.205278472,0.001434978,18.752,12.631,18.363,33.685,38.29,30.797,"Ribonuclease R","MAG: organic colvent ABC transporter permease","Organic colvent ABC transporter permease","","GO:0090501;GO:0003723;GO:0004527;GO:0004540;GO:0003676","RNA phosphodiester bond hydrolysis;RNA binding;exonuclease activity;ribonuclease activity;nucleic acid binding","ribonuclease R ",4.303926836,3.7688195,4.275230588,5.116239979,5.296090263,4.990818751,34.25733333,16.582,5.134382998,4.115992308,-1.018390689,2.843154885,"Downregulated","Transcription"
"K12574",-3.53237506,1.49477e-05,10.228,10.827,20.658,40.903,45.68,42.178,"Ribonuclease J1","MAG: ribonuclease J","Ribonuclease J","rnj","GO:0006364;GO:0090502;GO:0090503;GO:0003723;GO:0004521;GO:0004534;GO:0008270;GO:0005737;GO:0006396;GO:0090501;GO:0046872","rRNA processing;RNA phosphodiester bond hydrolysis, endonucleolytic;RNA phosphodiester bond hydrolysis, exonucleolytic;RNA binding;endoribonuclease activity;5'-3' exoribonuclease activity;zinc ion binding;cytoplasm;RNA processing;RNA phosphodiester bond hydrolysis;metal ion binding","ribonuclease J ",3.489029064,3.564012265,4.436828119,5.388981631,5.544732656,5.432224514,42.92033333,13.90433333,5.455312934,3.829956483,-1.625356451,4.825426118,"Downregulated","Transcription"
"K13195",-3.259956289,7.62332e-05,5.1142,0,8.0337,20.0501,26.1985,28.119,"hypothetical protein","MAG: RNA-binding protein","RNA-binding protein","","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","cold-inducible RNA-binding protein",2.612163745,0,3.175317004,4.395755182,4.765455184,4.863888906,24.7892,4.382633333,4.675033091,1.92916025,-2.745872841,4.117855942,"Downregulated","Transcription"
"K14440",-1.766339225,0.004786248,3.4095,0,9.1813,9.6242,15.45,16.737,"RNA polymerase-associated protein RapA","MAG: helicase","Helicase","","GO:0006338;GO:0004386;GO:0005524;GO:0140658","chromatin remodeling;helicase activity;ATP binding;ATP-dependent chromatin remodeler activity","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 ",2.140615076,0,3.347849879,3.409282306,4.040015679,4.148690111,13.93706667,4.196933333,3.865996032,1.829488318,-2.036507714,2.32000479,"Downregulated","Purines, pyrimidines, nucleotides"
"K16881",-1.511534035,0.009476831,3.4095,0,0,6.4161,9.4046,8.7035,"UTP--glucose-1-phosphate uridylyltransferase","NDP-sugar synthase","","","GO:0006011;GO:0009058;GO:0003983;GO:0016779","UDP-glucose metabolic process;biosynthetic process;UTglucose-1-phosphate uridylyltransferase activity;nucleotidyltransferase activity","mannose-1-phosphate guanylyltransferase / phosphomannomutase ",2.140615076,0,0,2.890660698,3.379149597,3.278505213,8.174733333,1.1365,3.182771836,0.713538359,-2.469233478,2.02333686,"Downregulated","Other metabolites"
"K19223",-1.615839476,0.007402093,0,0,0,0,8.0611,12.72,"N-acetylmuramoyl-L-alanine amidase sle1","LysM peptidoglycan-binding domain-containing protein","","","","","peptidoglycan DL-endopeptidase LytF ",0,0,0,0,3.179686201,3.778208576,6.927033333,0,2.319298259,0,-2.319298259,2.130645482,"Downregulated","Cell wall and signaling"
"K19788",-1.755271675,0.005059791,0,0,8.0337,13.634,10.748,12.051,"Ribosome-binding ATPase YchF","MAG: redox-regulated ATPase YchF","Ribosome-binding ATPase YchF","ychF","GO:0005524;GO:0005525;GO:0016887;GO:0043022;GO:0043023","ATP binding;GTP binding;ATP hydrolysis activity;ribosome binding;ribosomal large subunit binding","obg-like ATPase 1",0,0,3.175317004,3.871252259,3.554343266,3.706088449,12.14433333,2.6779,3.710561324,1.058439001,-2.652122323,2.295867445,"Downregulated","Regulatory system and stress"
"K19813",-1.932419741,0.003127055,0,0,0,0,11.4198,14.0595,"6'''-hydroxyparomomycin C oxidase","MAG: dehydrogenase;GMC oxidoreductase","Dehydrogenase;","","GO:0016614;GO:0050660","oxidoreductase activity, acting on CH-OH group of donors;flavin adenine dinucleotide binding","glucose dehydrogenase ",0,0,0,0,3.634570036,3.912601966,8.4931,0,2.515724001,0,-2.515724001,2.504864438,"Downregulated","Energy and redox"
"K21480",-2.437786344,0.000938714,0,0,0,8.8221,13.435,12.72,"Heme oxygenase 1","MAG: heme oxygenase","Heme oxygenase","","GO:0006788;GO:0004392;GO:0046872","heme oxidation;heme oxygenase (decyclizing) activity;metal ion binding","heme oxygenase (biliverdin-producing, ferredoxin) ",0,0,0,3.296031511,3.851499202,3.778208576,11.65903333,0,3.641913097,0,-3.641913097,3.027466474,"Downregulated","Other metabolites"
"K21594",-1.967102148,0.002816143,0,0,5.7383,8.0201,14.107,14.059,"Elongation factor 4","MAG: elongation factor 4","Elongation factor 4","","GO:0006414;GO:0003746;GO:0003924;GO:0005525;GO:0005886","translational elongation;translation elongation factor activity;GTPase activity;GTP binding;plasma membrane","translation factor GUF1, mitochondrial ",0,0,2.752384661,3.173143428,3.917145288,3.912554065,12.06203333,1.912766667,3.667614261,0.917461554,-2.750152707,2.550345219,"Downregulated","Translation"
"K21993",-4.62838373,1e-06,0,0,16.067,30.477,46.351,41.509,"putative formate transporter 1","MULTISPECIES: formate/nitrite transporter family protein","","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","formate transporter",0,0,4.093137582,4.976226142,5.565322989,5.409696416,39.44566667,5.355666667,5.317081849,1.364379194,-3.952702655,6,"Downregulated","Transport"
"K22705",-2.170020076,0.001476831,0,0,0,6.4161,11.42,12.72,"Hopanoid C-2 methylase","MAG: B12-binding domain-containing radical SAM protein","B12-binding domain-containing radical SAM protein","","GO:0003824;GO:0031419;GO:0046872;GO:0051536","catalytic activity;cobalamin binding;metal ion binding;iron-sulfur cluster binding","hopanoid C-2 methylase ",0,0,0,2.890660698,3.634593268,3.778208576,10.18536667,0,3.434487514,0,-3.434487514,2.830669173,"Downregulated","Cell wall and signaling"
"K23269",-2.113073001,0.001823617,10.228,7.2178,16.067,18.446,28.214,31.466,"Phosphoribosylformylglycinamidine synthase subunit PurL","MAG: phosphoribosylformylglycinamidine synthase subunit PurL","Phosphoribosylformylglycinamidine synthase subunit PurL","purL","GO:0006189;GO:0000287;GO:0004642;GO:0005524;GO:0005737","'de novo' IMP biosynthetic process;magnesium ion binding;phosphoribosylformylglycinamidine synthase activity;ATP binding;cytoplasm","phosphoribosylformylglycinamidine synthase subunit PurL ",3.489029064,3.038752219,4.093137582,4.281401521,4.868588001,5.020857742,26.042,11.17093333,4.723615755,3.540306288,-1.183309467,2.739066287,"Downregulated","Purines, pyrimidines, nucleotides"
